State,District,Yield,Canal_Dist,Irrigated_Per,Literate,Cultivator,AgLabor,Rain,Temperature,Elevation,SowDate
Uttar Pradesh,Bareilly,3093.225777,17.43852776,1,0.353658537,0.162601626,0.048780488,355.6151376,11.840868,181,5.903792273
Uttar Pradesh,Kushinagar,3154.053507,0.895953044,0.774256533,0.374011299,0.175706215,0,406.7177114,13.15250301,85,NA
Uttar Pradesh,Faizabad,2911.736134,6.185192348,0,0.44873817,0.170347003,0.001577287,305.1667636,12.56880188,106,5.391364666
Uttar Pradesh,Bareilly,2990.644962,41.18489956,0.97629259,0.236936578,0.047068209,0.113282808,328.1960969,12.66309071,167,5.10488678
Uttar Pradesh,Meerut,2909.123146,2.494629576,1,0.54723127,0.344191097,0.040173724,271.3665588,10.89296913,212,NA
Bihar,Buxar,3298.184056,1.343585192,0.767513314,0.309210526,0.289473684,0,301.1636395,13.32533264,67,5.883974359
Bihar,Vaishali,2899.84706,15.00886017,0.666666667,0.555596876,0.027891409,0.084789885,312.8289477,13.63042259,47,4.76062727
Bihar,Patna,3364.53576,31.03414597,0.472803347,0.493517908,0.042627994,0.07185234,295.1302342,13.51912689,47,3.660352912
Uttar Pradesh,Sitapur,3211.331337,16.58143375,0.786240056,0.469478357,0.124306326,0.145948946,278.9920598,11.5984354,128,4.301073345
Bihar,Saran,2937.52218,0.154682142,0.741175291,0.196938065,0.180932498,0.061238692,351.9843837,13.46183491,60,5.047741148
Bihar,Munger,2792.095581,20.12400469,0,0.451048951,0.056381119,0.097902098,314.774738,14.21612549,43,6.984692485
Uttar Pradesh,Siddharthnagar,3041.195862,12.15533777,0.194174757,0.168458781,0.111111111,0.050179211,435.0249754,13.15985394,89,5.795253464
Uttar Pradesh,Shrawasti,3332.144692,12.46897779,0.644448803,0.114894795,0.246954596,0.018272425,375.2528131,12.75078106,123,4.148579569
Uttar Pradesh,Baghpat,3452.405645,3.655695202,1,0.578794179,0.118087318,0.0004158,204.2499838,10.31761837,219,4.905771266
Bihar,Begusarai,2868.600836,18.24919018,0.666666667,0.261448641,0.077905492,0.128443715,300.3089144,13.54090977,42,4.346081168
Uttar Pradesh,Azamgarh,3013.993368,8.028687407,1,0.511926606,0.099082569,0.001834862,308.9016271,13.07517242,76,5.823379825
Uttar Pradesh,Mau,3303.417725,5.650978503,0.969635628,0.446712018,0.009070295,0.052154195,344.9643208,13.34215927,77,5.05
Haryana,Rewari,3339.220352,3.905602686,1,0.64013267,0.190713101,0.006633499,166.6631351,9.945732117,229,2.563933498
Bihar,Buxar,2721.851708,18.94745243,0.468566938,0.146666667,0.127619048,0.03047619,310.8587981,13.23442745,56,3.032914141
Bihar,Gopalganj,3383.314431,9.317972999,0.733139956,0.730478589,0.136020151,0.032745592,369.2071987,13.11205578,75,4.8
Uttar Pradesh,Ballia,2938.75506,10.13174498,0.451234722,0.573102394,0.056036679,0.067753439,310.5661231,13.49166012,61,4.709401709
Bihar,Siwan,3771.001435,2.378556807,0.571428571,NA,NA,NA,327.220756,13.16007519,67,5.4
Bihar,Buxar,2636.116558,0.148584759,0.943018601,0.4400978,0.122249389,0.078239609,310.5661231,13.30191803,67,7.506508391
Uttar Pradesh,Jaunpur,3216.989265,9.244404272,0.948409123,0.377508651,0.181314879,0.014878893,278.7833771,13.02965069,90,4.946656859
Uttar Pradesh,Bijnor,3047.935063,13.54274405,1,0.77852349,0.194630872,0.080536913,307.1894508,10.85722923,240,6.665576685
Uttar Pradesh,Gonda,3101.039457,13.10072411,1,0.174553102,0.149316509,0.058885384,402.7464394,12.52202034,92,6.139172336
Punjab,Kapurthala,4598.263832,14.47911546,1,NA,NA,NA,207.5606518,8.753476143,230,2.833333333
Bihar,Bhagalpur,2714.343812,27.80586536,0,0.625954198,0,0,321.231873,13.95016575,41,6.632596372
Uttar Pradesh,Sant Kabir Nagar,3395.707159,31.03017943,0.78613396,0.431318681,0.107142857,0.041208791,362.616224,13.0815649,78,3.853296703
Punjab,Amritsar,3940.153685,0.522260681,1,0.593692449,0.050644567,0.036372007,191.1113677,8.677549362,234,3.538797814
Punjab,Firozpur,3607.132018,1.665879566,1,0.336188437,0.471092077,0,138.1419619,8.734805107,200,3.18884378
Uttar Pradesh,Etawah,3435.053456,9.954644344,0.997642177,0.590236686,0.085798817,0.01183432,212.1788457,12.32949448,154,3.467805986
Bihar,Siwan,3188.367403,4.16046977,0.940594059,0.324917673,0.080131723,0.014270033,337.5859794,13.7788372,64,5.537388927
Haryana,Karnal,4314.707709,3.504215925,1,0.54812099,0.1131989,0.008249313,145.8166136,9.827250481,241,3.142364532
Uttar Pradesh,Kannauj,3027.07919,11.76407203,1,0.477586207,0.136206897,0.055172414,236.3887201,11.55429649,149,2.876602564
Punjab,Faridkot,4042.336013,4.148862684,1,0.443050193,0.163127413,0.13996139,125.05736,9.23085022,190,2.976144689
Uttar Pradesh,Banda,2811.950109,10.72372467,0.238207783,0.32677761,0.099848714,0.037821483,301.7175214,13.13383865,138,3.829607743
Uttar Pradesh,Sant Kabir Nagar,3666.758353,7.379165272,0.912474333,0.274509804,0.197231834,0.00461361,439.5132826,13.00838852,83,4.812585034
Uttar Pradesh,Mau,3112.545898,11.7137453,1,0.592797784,0.04432133,0.004155125,344.9643208,13.42190266,77,5.012698413
Bihar,Kaimur (Bhabua),2846.698625,3.02246687,0.988764045,0.36809816,0.085889571,0,307.4183094,13.44237709,69,5.966033966
Uttar Pradesh,Jhansi,3097.174637,1.949542645,0.32742576,0.359743041,0.100642398,0.006423983,216.7379562,12.22918797,168,3.106168831
Uttar Pradesh,Moradabad,3472.855159,34.2619307,0.995555556,0.221976401,0.106563422,0.059734513,277.8382672,11.07111263,203,5.647855732
Uttar Pradesh,Kushinagar,3380.243608,2.754062425,1,0.488760218,0.023501362,0.003065395,379.4942003,13.0064249,79,4.684024578
Uttar Pradesh,Shrawasti,3011.177134,16.75495243,0.300360558,0.148999259,0.169755374,0.055226093,376.4877734,12.44455528,116,5.263317781
Haryana,Sonipat,3807.743801,0.511096638,1,0.602517042,0.151022549,0.024121657,158.5806266,10.33458519,233,4.306641604
Bihar,Begusarai,3091.732923,31.19469305,0.661538462,0.186486486,0.055405405,0.456756757,300.3089144,14.01577854,38,4.647435897
Uttar Pradesh,Rampur,3257.183427,47.62675119,1,0.33915212,0.225685786,0.00872818,339.5023844,11.87470722,180,4.960837713
Bihar,Nawada,3052.815196,2.180231946,0,0.388012618,0.102523659,0.262618297,292.472851,13.89542389,89,5.756628142
Bihar,Purnia,2388.274866,5.725395697,0.257005604,0.250521921,0.088726514,0.222860125,429.2182928,14.06479359,44,NA
Uttar Pradesh,Balrampur,2937.039848,21.34692737,0,0.170575693,0.405117271,0.05899076,376.4877734,12.26058197,121,5.142425342
Uttar Pradesh,Sultanpur,3246.287761,2.238554673,0.785714286,0.599045346,0.054892601,0.009546539,280.4787542,12.86680984,106,5.021611722
Uttar Pradesh,Unnao,2752.409354,10.73381741,0.858430164,0.407166124,0.107491857,0,243.0038741,12.43941116,118,5.378617216
Uttar Pradesh,Jyotiba Phule Nagar,3163.651819,6.711002898,1,0.442336495,0.097353969,0.062905642,275.1848932,11.01756668,217,6.665864598
Uttar Pradesh,Azamgarh,2753.901049,0.11207296,1,0.418230563,0.029490617,0.002680965,314.2565314,13.26137161,86,5.938095238
Bihar,Araria,2800.31674,21.46821168,0.427825738,0.35016835,0.070707071,0.164983165,544.7253955,14.02147675,56,NA
Uttar Pradesh,Bulandshahr,3393.579456,0.924682158,0.999451484,0.511773186,0.163863527,0.092263335,227.4462854,10.67395401,194,5.338135063
Uttar Pradesh,Siddharthnagar,3398.709256,11.3518841,0.982963943,0.395604396,0.119047619,0.001831502,485.885636,13.30458832,94,4.645887446
Uttar Pradesh,Mau,3423.31058,2.774888137,1,0.530373832,0.044392523,0.08411215,333.3918408,13.27222347,81,5.108974359
Uttar Pradesh,Allahabad,2863.226989,22.49191538,0.971618061,0.3102526,0.135215453,0.027340267,273.4505744,14.16322708,101,NA
Uttar Pradesh,Kannauj,3013.837101,14.59080516,0.68644958,0.598958333,0.169270833,0,251.2903732,12.31873131,141,2.371047155
Haryana,Yamunanagar,3371.834266,0.97592282,1,0.595041322,0.140495868,0.008264463,311.8433232,10.79892254,284,4.870617478
Uttar Pradesh,Kaushambi,3333.624402,9.615772364,0.66322314,NA,NA,NA,248.4868068,12.76002884,111,4.711062271
Uttar Pradesh,Faizabad,3300.641167,1.835591328,0.876607471,0.459693878,0.19744898,0.087755102,316.432686,12.66074371,102,5.821493949
Bihar,Kaimur (Bhabua),2757.147287,1.601249807,0.8,0.482328482,0.108108108,0.106029106,323.9838034,14.09854031,92,7.155555556
Uttar Pradesh,Ambedkar Nagar,3289.517624,7.913352977,1,0.423611111,0.100694444,0.229166667,302.9386434,12.6150465,86,5.516983017
Bihar,Nawada,3035.96754,0.353378697,0.591208191,0.485757981,0.119097687,0.129038425,297.8631621,13.66514397,64,NA
Punjab,Hoshiarpur,3288.806485,9.318762709,0.856,0.756802721,0.108843537,0.027210884,285.443476,9.037223816,275,NA
Uttar Pradesh,Azamgarh,3333.639928,4.636499301,0.765188834,0.559961315,0.095744681,0.028046422,331.0138318,13.14894199,82,4.63040293
Uttar Pradesh,Deoria,3510.785049,5.111003396,1,0.344408428,0.151539708,0.010534846,382.9293256,13.05211735,79,4.732380952
Bihar,Vaishali,2779.278471,1.293945265,0.964012073,0.279392903,0.091064558,0.215476699,332.4384826,13.72286129,59,5.196900014
Uttar Pradesh,Mahrajganj,3043.737664,0.035697742,0.865252691,0.365097589,0.052812859,0.052812859,485.885636,13.61399746,100,5.764091722
Uttar Pradesh,Firozabad,3430.670042,21.51391786,0.979706484,0.480163361,0.105600933,0.023920653,195.0513883,11.4463625,164,3.047428422
Bihar,Samastipur,3022.87575,26.7492876,0.75,0.361623616,0.041158104,0.154697701,311.0826468,13.54754257,52,4.322716866
Uttar Pradesh,Basti,2963.549411,30.03980176,0.943774069,0.379684418,0.018737673,0.018737673,372.6812038,12.99947834,92,5.974871283
Uttar Pradesh,Pratapgarh,3165.46133,12.43378677,1,0.508389262,0.156040268,0.013422819,252.5086861,13.13048267,103,5.374786325
Uttar Pradesh,Saharanpur,3208.897429,7.042749283,1,0.667661098,0.07875895,0.106205251,275.1383484,10.54087448,263,6.191873539
Punjab,Jalandhar,3715.284261,2.155795446,1,0.734857849,0.054388133,0.008652658,213.2573222,9.402951241,228,3.671120879
Uttar Pradesh,Sultanpur,3130.515987,1.54073939,0.949552773,0.402486402,0.131313131,0.027195027,282.5532868,12.85120487,99,4.987737758
Uttar Pradesh,Etawah,3448.849215,0.182477074,0.98059729,0.694692144,0.102760085,0.033545648,212.6106652,12.17134857,147,4.587486157
Uttar Pradesh,Rae Bareli,3278.996126,5.957819303,0.772897697,0.583684951,0.05625879,0.095639944,243.0038741,12.45177364,116,4.567147436
Uttar Pradesh,Firozabad,3330.012532,7.225357597,0.898671276,0.372979961,0.079508727,0.009049774,198.6755708,11.69361973,164,3.076448551
Bihar,Bhagalpur,3034.899302,10.63950916,0.644491525,0.534932221,0.042752868,0.176225235,338.2197801,14.0067234,37,5.672214627
Uttar Pradesh,Etawah,3124.510513,0.040812886,1,0.598639456,0.022675737,0.129251701,203.5812879,11.88237476,158,4.261904762
Haryana,Faridabad,3765.982045,0.118401889,1,0.365126677,0.134500745,0.032786885,162.4046218,10.93614578,194,3.743137255
Uttar Pradesh,Gorakhpur,3281.570351,5.053744197,1,NA,NA,NA,375.5237732,13.34231091,79,5.311111111
Uttar Pradesh,Azamgarh,3175.803997,3.413328286,0.983087547,0.459393671,0.094268644,0.074574021,304.106889,13.1071558,81,4.369912405
Uttar Pradesh,Kushinagar,2879.902087,3.643590869,0.917525773,NA,NA,NA,412.997891,13.05653763,83,5.953925241
Uttar Pradesh,Ghazipur,2851.866379,8.774563403,0.370343449,0.54215918,0.07249803,0.133963751,316.2156218,12.93967438,64,3.64719697
Uttar Pradesh,Unnao,3129.890187,2.296441244,0.987119801,0.428015564,0.295719844,0,257.1892516,12.37649727,128,4.986772487
Uttar Pradesh,Varanasi,3232.510946,0.873322264,1,0.420091324,0.063926941,0.02739726,290.4238627,13.27109241,83,5.333333333
Uttar Pradesh,Ambedkar Nagar,3154.094581,16.73744858,1,0.507352941,0.222058824,0.075,305.0812225,12.62526321,93,5.54248354
Uttar Pradesh,Mirzapur,3021.860658,23.19725644,0.25,0.282790698,0.052093023,0.000930233,301.6138004,14.71437454,269,NA
Uttar Pradesh,Deoria,3345.661164,14.86587569,0.895199459,0.307692308,0.107692308,0.030769231,369.2071987,13.17676926,76,4.537885924
Uttar Pradesh,Saharanpur,3386.663373,5.360392929,1,NA,NA,NA,247.7771367,10.32082272,256,5.761737028
Punjab,Fatehgarh Sahib,4065.700852,4.573475333,1,0.675350701,0.144288577,0.04008016,214.9260814,9.813587189,280,3.340456243
Punjab,Jalandhar,3100.582946,4.964981876,1,0.715859031,0.058370044,0.172907489,248.1656733,8.892263412,251,4.618759145
Punjab,Gurdaspur,4218.039201,8.626388471,1,0.610662359,0.008723748,0.033279483,210.919683,8.414381027,242,3.631578947
Bihar,Rohtas,3454.119597,1.041351983,1,0.521886792,0.139622642,0.037358491,304.4114959,13.37320137,91,6.290471427
Uttar Pradesh,Kannauj,2781.53349,21.62717206,0.79092226,0.260683761,0.188034188,0.051282051,246.7305476,11.89858913,146,2.229299993
Bihar,Pashchim Champaran,2877.165211,3.179427386,1,0.471215352,0.07782516,0.122601279,417.9472917,13.11071491,83,6.29484127
Uttar Pradesh,Jaunpur,3136.900238,0.296277709,0.810642642,0.497991968,0.125442948,0.02811245,290.4238627,13.27109241,82,NA
Bihar,Buxar,3165.959338,2.656196607,1,NA,NA,NA,301.1636395,13.43322182,70,6.37501998
Uttar Pradesh,Sultanpur,3614.567703,0.274488431,0.749711649,0.241610738,0.006711409,0.006711409,296.249863,12.7219696,112,5.329137529
Uttar Pradesh,Kaushambi,3370.842782,11.41227622,0.873160245,0.303757829,0.004175365,0,255.1153729,13.18192482,107,4.937616769
Bihar,Muzaffarpur,2869.059445,8.818333774,0.556354916,0.315810122,0.079246763,0.155355041,377.6814405,13.45716667,59,5.1514713
Uttar Pradesh,Sultanpur,3175.254084,0.1030761,0.977934687,0.310240964,0.081325301,0,301.4351792,12.8089695,104,5.498258648
Bihar,Muzaffarpur,2882.260942,1.713394924,0.490184758,0.265814696,0.020447284,0.061341853,377.6814405,13.5278759,62,5.093455156
Uttar Pradesh,Chitrakoot,3068.648789,11.18047858,0.538443085,0.609615385,0.113461538,0.228846154,270.1874172,13.18876266,97,3.759180542
Punjab,Nawanshahr,4142.941637,1.030567401,1,0.692836114,0.106967615,0.064278705,251.8701043,9.378885269,261,3.918518519
Bihar,Muzaffarpur,3281.296831,16.63830695,0.382899628,0.342931937,0.146596859,0.167539267,399.8492136,13.58404732,57,4.408711081
Uttar Pradesh,Ballia,3270.052907,6.79385996,0.980873892,0.456621005,0.200913242,0.001141553,323.3794634,13.35190773,66,5.018410256
Uttar Pradesh,Moradabad,3464.405639,31.22118014,1,0.433597621,0.126362735,0.010901883,297.0354952,11.51938725,197,5.154625299
Bihar,Katihar,2496.050181,7.943423141,0.757575758,NA,NA,NA,388.8757257,14.30267239,32,NA
Uttar Pradesh,Sant Ravidas Nagar,3480.171547,35.64949621,0.628470048,0.399761337,0.064439141,0.001193317,292.7569555,13.23291874,87,5.011309524
Uttar Pradesh,Chandauli,2969.236124,8.839405997,0.851329702,0.437013997,0.195178849,0.01399689,306.1028241,13.63149738,69,5.224098124
Bihar,Katihar,2425.901998,30.31593165,0.846625767,0.148895293,0.105667627,0.196926033,410.6354333,14.79925251,34,NA
Uttar Pradesh,Deoria,3171.748706,14.19775011,1,0.447233314,0.086138049,0.009697661,357.3710532,13.31203747,73,3.52760402
Uttar Pradesh,Moradabad,3263.855489,54.12363772,0.992988012,0.461091754,0.176538908,0.051103368,297.1538799,11.50199223,193,5.997042217
Uttar Pradesh,Kheri,3672.642757,11.98792098,0.950594581,0.397377939,0.149186257,0.007233273,323.6651588,11.42341137,158,4.147268908
Bihar,Kaimur (Bhabua),3017.420179,4.348278642,0.865900383,0.510957324,0.092272203,0.130334487,319.1258122,13.51076317,72,6.728174603
Punjab,Amritsar,4222.9442,1.013447936,1,0.431178472,0.084132385,0.019486545,159.7424188,8.820855141,215,3.245128205
Uttar Pradesh,Pilibhit,2991.272794,15.10773437,0.99691511,0.534756098,0.109756098,0.034756098,374.2228751,11.79841518,175,6.060536365
Bihar,Kaimur (Bhabua),3132.283883,5.906731414,0.439781022,0.558035714,0.1875,0.107142857,311.6075383,13.50512981,75,6.569047619
Uttar Pradesh,Pilibhit,3916.067704,10.71941726,1,0.45974026,0.214285714,0.002597403,414.1088885,11.58287621,179,4.214285714
Uttar Pradesh,Farrukhabad,3350.421532,19.65365994,0.877420868,0.262711864,0.228813559,0.034957627,253.0299654,11.20602989,153,4.489795918
Punjab,Amritsar,4567.482691,5.615233376,1,0.573913043,0.373913043,0.034782609,166.8581898,9.101883888,212,3.324839196
Uttar Pradesh,Kheri,2653.961426,10.62025065,0.908834321,NA,NA,NA,323.6651588,11.27117538,149,NA
Uttar Pradesh,Sant Ravidas Nagar,3152.263356,29.61770529,0.889836532,0.302990897,0.079323797,0.053315995,292.7569555,14.23525715,91,5.406872493
Punjab,Hoshiarpur,3886.649278,4.695189604,1,0.70415879,0.04442344,0.02362949,268.3273184,9.147042274,257,4.197550035
Uttar Pradesh,Gorakhpur,3238.844208,18.18314974,0.829816388,0.518939394,0.119318182,0.053030303,349.9507126,13.22544956,78,4.241476472
Uttar Pradesh,Sitapur,3550.591349,9.033244906,0.982988273,0.513666352,0.242224317,0.051837889,287.7370556,11.60297203,145,4.282666667
Uttar Pradesh,Agra,3245.101455,3.908812316,0.956896552,0.534599729,0.137042062,0.009497965,189.208671,11.40270233,165,2.586552892
Uttar Pradesh,Chitrakoot,3219.57787,9.287966212,0.449756529,0.596610169,0.193220339,0.030508475,276.6702949,12.9990797,111,3.66646092
Uttar Pradesh,Sitapur,2904.034932,4.266921401,0.888372501,0.715328467,0.230656934,0.023357664,278.9920598,11.78994274,137,NA
Bihar,Siwan,2593.057659,3.246180519,0.601956358,0.481481481,0.111111111,0.028218695,343.9609336,14.58216286,64,5.82281095
Bihar,Gopalganj,3086.345121,3.241561319,1,0.360849057,0.049528302,0.127358491,350.1526691,13.25283623,72,5.377777778
Uttar Pradesh,Saharanpur,3309.628924,13.00569864,0.999040307,0.501416431,0.117563739,0.08286119,357.0135883,10.97624683,292,5.631401931
Punjab,Ludhiana,4370.669672,7.916415503,1,0.497282609,0.04076087,0.138586957,200.4688079,8.68309021,253,3.317708333
Bihar,Purba Champaran,2241.423372,0.984599406,0.790513834,NA,NA,NA,456.3566244,13.67258167,78,NA
Uttar Pradesh,Pilibhit,3600.261945,3.312789991,0.999916743,NA,NA,NA,414.1088885,11.46888447,175,4.770460492
Uttar Pradesh,Kushinagar,2440.426289,9.827322431,0.991455274,0.197802198,0.626373626,0.010989011,482.9760681,13.25564766,92,5.354166667
Uttar Pradesh,Bareilly,3520.480815,49.57020427,1,0.520805369,0.148993289,0.09261745,327.1041345,11.49242306,166,5.04479687
Bihar,Araria,2896.0038,4.843013234,0.764880952,0.186356073,0.083194676,0.145590682,497.0858026,13.97079849,46,5.502192151
Bihar,Darbhanga,2587.076095,13.95217748,0.299628942,0.369701128,0.07052455,0.102698994,352.1991971,13.90426159,53,NA
Uttar Pradesh,Budaun,3288.265595,57.05759665,1,0.16426757,0.229466554,0.029635902,284.1119617,11.48195076,184,5.348484848
Uttar Pradesh,Sitapur,3163.034968,12.57958298,0.665416023,0.340458811,0.252346194,0.019812304,278.9920598,11.76248741,133,4.877838707
Uttar Pradesh,Sitapur,3018.875523,5.716893944,1,0.272977941,0.086397059,0.161764706,277.0321072,11.86887836,135,5.753090537
Punjab,Jalandhar,3799.95597,6.690392372,1,0.662573099,0.083040936,0.14619883,243.0131776,8.882795334,242,3.834814971
Bihar,Saran,3565.93282,4.308646248,0.918971061,0.437177281,0.209982788,0,332.4384826,13.66725063,52,3.456018519
Bihar,Kaimur (Bhabua),2655.927271,1.791265491,0.669394435,NA,NA,NA,307.4183094,13.39779186,71,7.251784327
Uttar Pradesh,Sitapur,3241.024259,6.685438949,0.944099838,0.454545455,0.251336898,0,287.7370556,11.58519745,145,5.166666667
Uttar Pradesh,Banda,3053.45845,8.475633873,1,0.323014257,0.188839104,0.085458248,248.7845969,13.87056828,105,NA
Haryana,Yamunanagar,3792.944273,3.178158609,1,0.599852616,0.138540899,0.11422255,207.9009015,10.06534195,260,3.861324873
Uttar Pradesh,Unnao,2952.425272,8.008524052,0.919376796,0.674747475,0.246464646,0.012121212,245.1164321,12.50490284,119,5.089393939
Uttar Pradesh,Mahrajganj,3073.480319,0.140271884,1,0.395544852,0.091511138,0.062010837,512.5528795,13.62835693,102,4.937964417
Uttar Pradesh,Ghazipur,3196.107124,1.638608855,0.908545861,0.473624717,0.066691786,0.087038433,301.1636395,13.50602722,62,5.351762821
Uttar Pradesh,Jaunpur,3183.622082,2.234718548,0.704955437,0.432601881,0.237199582,0.035527691,290.4238627,13.10365963,84,4.881610577
Uttar Pradesh,Jalaun,2788.929528,12.68951019,0.222381636,NA,NA,NA,228.8956052,12.96063614,125,NA
Bihar,Patna,2916.810334,10.45529125,0.655555556,NA,NA,NA,307.7912349,13.7062149,57,3.090909091
Uttar Pradesh,Etawah,3545.808021,9.0365899,0.948810418,0.614749263,0.148082596,0.053687316,203.5812879,12.32949448,154,3.607122322
Bihar,Madhubani,2870.916469,4.708865751,0.797878055,0.417478814,0.101271186,0.115466102,392.720077,14.35615635,67,NA
Bihar,Aurangabad,2809.658024,2.172124771,0.498118043,0.494071146,0.112648221,0.046113307,333.887708,14.29261112,118,NA
Uttar Pradesh,Ghazipur,3032.033864,10.38810707,1,NA,NA,NA,316.2156218,13.01690769,62,3.166666667
Punjab,Gurdaspur,4369.41116,3.306418755,1,0.558461538,0.066153846,0.131538462,210.919683,8.841202736,250,3.641904762
Bihar,Rohtas,3159.13806,1.715398449,1,0.579172611,0.164051355,0.037089872,304.4114959,13.97713661,104,7.038789234
Uttar Pradesh,Sonbhadra,3040.924667,39.64076126,0,0.342781222,0.105403012,0.140832595,339.0423158,13.9510994,219,NA
Uttar Pradesh,Ghazipur,3348.483214,8.43815238,0.751480064,0.500777605,0.107892691,0.014191291,307.8660566,13.18371582,71,4.953039781
Bihar,Araria,2888.821337,5.112895119,0.480590487,0.322368421,0.084429825,0.273026316,497.852381,14.25402069,57,4.691308643
Bihar,Nawada,2759.18996,9.8604304,0.39870996,0.210810811,0.194594595,0,292.472851,16.96250153,80,6.935470085
Punjab,Amritsar,4243.995452,0.51838437,1,0.480099502,0.26119403,0.232172471,159.7424188,8.752599716,218,NA
Uttar Pradesh,Sant Ravidas Nagar,2784.027988,22.40458522,0.519198664,NA,NA,NA,292.7569555,13.15781021,90,4.866666667
Bihar,Khagaria,2462.475435,18.27830045,0.672544081,NA,NA,NA,303.4063081,14.39534569,29,NA
