"lake","diversity","prod","temp","rain","sun"
"lake4",9,1007.22659289902,16.5191289790522,144.791436085795,3.85582528469598
"lake7",9,1022.42171015335,16.7851101573066,164.009607137339,4.00329390940797
"lake2",14,973.589283916694,16.8889904102688,140.558867045356,3.95906516840896
"lake6",13,1011.28837339663,16.8487064513006,148.208380040178,3.97390523648267
"lake4",10,1011.41050748263,17.0234850425169,153.680665004159,4.15225382554008
"lake7",10,1047.83218574253,17.0773462485153,163.389933666007,3.8873507137858
"lake9",12,1004.21419423482,16.7809689446301,149.085849203522,4.09237059279945
"lake5",16,956.560468133116,16.5991622127304,156.684150399047,3.98530825616293
"lake10",10,972.275465484051,17.1146472154587,146.167954972267,3.76628145498542
"lake3",1,986.125251836496,16.826900627272,152.040170957575,3.84205382389908
"lake8",19,1096.26485104716,17.2690440404402,152.510582319853,4.24569835947797
"lake4",8,931.9722396373,16.898390157219,141.94423206596,4.08187713008429
"lake8",14,999.786844724296,16.5279265946905,156.723901663733,3.98967712658359
"lake7",7,844.433141706017,17.0655382760364,138.505117465315,4.01808709214797
"lake7",9,1024.4999760873,17.1219525881101,152.68757054038,3.98230856130524
"lake7",11,1080.12722961881,16.8705469318148,171.779857381638,4.1131704603306
"lake6",5,951.269138824666,17.1074441041271,143.840090812373,4.04407576113207
"lake4",10,1095.34686500974,16.7216201323043,143.028476050999,4.10132361267091
"lake1",2,931.857588076961,17.0728438460492,155.573218095114,4.03844061472461
"lake4",1,966.111247101253,17.1944163261806,139.637338246476,3.86609878822836
"lake4",5,904.2951107021,17.2302474519613,139.514016501153,4.02255580053169
"lake5",7,1017.57143031882,16.7114216416516,162.157465947615,4.02569178812294
"lake7",15,1036.73131323069,17.1136807914335,134.60539243397,3.94787289794074
"lake2",5,960.716235805451,17.3310875861661,140.711180376992,3.94604057388069
"lake2",3,916.585688707567,16.8084134597335,131.133584531855,3.82940208412621
"lake5",20,1105.7111028713,16.9853964605477,157.279897048346,4.20003548602786
"lake9",13,1048.67194145856,16.9353173004136,164.694507778589,4.16886087250491
"lake6",12,1092.92823470108,17.411117738709,152.162212421395,4.07401082051686
"lake4",7,920.234775417113,17.0945800083711,151.43266255647,4.02821725690466
"lake4",1,947.676761686333,16.3370983912555,135.920223805625,3.91441086328632
"lake4",12,1036.77350706633,17.2650377126646,150.869058166173,4.09098277746742
"lake2",6,948.714578314752,16.7833715478428,138.877503763328,4.08339356419462
"lake6",13,1064.84503823817,17.2358996274318,170.464680470164,4.05532687966059
"lake6",7,936.066279576508,16.3387379668285,170.086696002544,3.88774454308963
"lake10",12,997.805522948869,17.0226982015525,165.790219201188,4.07216787752495
"lake4",19,1145.9622649008,17.7847389401463,157.166815533288,4.21534764608688
"lake7",18,1004.70551160681,17.2401916483804,158.076808911026,3.97731712722885
"lake11",13,1025.48774816571,17.2945428868278,156.383617536305,4.03082339814736
"lake4",9,912.94516704517,16.7964842026798,143.175990135529,3.86066299194455
"lake5",12,1036.30757262461,16.8686987418401,166.858103110848,4.04894909061147
"lake6",20,1122.38616718311,16.9173572293948,153.803938890542,3.92802292193105
"lake9",16,1034.1138485065,17.4422607040746,151.28203853275,4.10359577436014
"lake4",11,1093.49408326886,17.2695341482771,145.972183772231,4.03832076301647
"lake7",19,1119.52089942093,17.1226247424046,167.730134717071,4.01400627598398
"lake8",16,1070.73643372793,16.5272730176914,163.026307355941,4.14954042212358
"lake8",7,980.331659519842,17.0581063339695,144.646257048716,3.94748963304702
"lake7",19,1077.67646260651,16.7946749748291,165.972778481803,4.04059864961833
"lake10",13,1048.05094223772,17.0278278830765,154.685835188819,3.99184998249682
"lake6",9,1037.08066990252,16.8615109499389,159.422914296689,3.89999516794185
